sample_id,dist_to_nearest_cesspool_m
OA798,177.2
OA799,376.6
OA8,1272.7
OA80,1289.1
OA81,1542.4
OA82,32548.6
OA83,1542.4
OA84,26203.6
OA85,26203.6
OA851,652.2
OA852,53
OA853,98.9
OA854,73.2
OA86,28635.8
OA860,105.9
OA865,803.3
OA866,117.8
OA867,177.5
OA88,540.7
OA89,26953.3
OA9,1141.6
OA90,1150.4
OA91,1353.5
OA92,1389.8
OA938,610.2
OA939,696.8
OA94,113.4
OA940,967.2
OA941,1406
OA942,1496.9
OA943,1397.5
OA944,80.5
OA945,156.2
OA946,257.9
OA947,111.9
OA949,330.1
OA95,231.4
OA950,1436.4
OA953,89.6
OA954,195.9
OA955,566.3
OA959,96.6
OA96,1552.9
OA960,18
OA963,111.7
OA964,23.2
OA965,75.9
OA969,19.6
OA97,2511.7
OA970,142.7
OA973,349.3
OA974,27.6
OA975,90.3
OA98,3439.2
OA99,559.5
OA999,233.6
