sample_ID,Salinity_raw,offset,Salinity,NO3+NO2 (umol/L),NO2 (umol/L),PO4 (umol/L),SiO2 (umol/L),NH3 (umol/L),rerun,
M300,34.98,0,34.98,2.377,0.14,0.193,4.163,0.474,6/3/2026,
OA206,34.24,0,34.24,0.893,0,0.19,4.034,0,6/3/2026,
OA208,32.37,0,32.37,0.568,0,,27.233,0.396,6/3/2026,
OA261,31.1,0,31.1,9.76,0.123,0.183,24.412,0,6/3/2026,
OA262,32.86,0,32.86,1.996,0,0.131,7.431,0,6/3/2026,
OA263,24.3,0,24.3,10.779,0.264,0.67,102.157,0.872,6/3/2026,
OA264,28.71,0,28.71,9.569,0,0.293,81.58,0,6/3/2026,
OA281,33.63,0,33.63,0.85,0,0.203,8.273,0,6/3/2026,
OA296,32.39,0,32.39,0.527,0,0.364,21.386,0.094,6/3/2026,
OA297,32.18,0,32.18,0.488,0,0.28,25.801,0.163,6/3/2026,
OA144,33.63,0,33.63,0.067,0,0.167,2.207,0,6/4/2026,
OA145,29.5,0,29.5,0,0,0.589,17.038,0,6/4/2026,
OA146,32.71,0,32.71,0.621,0,0.271,7.75,0,6/4/2026,
OA147,33.53,0,33.53,0.345,0,0.18,3.06,0,6/4/2026,
OA148,34.3,0,34.3,0.106,0,0.16,1.478,0,6/4/2026,
OA149,32.49,0,32.49,0,0,0.183,4.716,0,6/4/2026,
OA150,34.35,0,34.35,0.15,0,0.157,0.84,0,6/4/2026,
OA151,18.64,0,18.64,0,0,0.669,36.906,0,6/4/2026,
OA152,25.53,0,25.53,0,0,0.214,23.609,0,6/4/2026,
OA153,24.58,0,24.58,0,0,0.302,22.314,0,6/4/2026,
OA154,22.3,0,22.3,0,0,0.504,26.128,0,6/4/2026,
OA155,20.2,0,20.2,0,0,0.651,35.503,0,6/4/2026,
OA157,24.72,0,24.72,0.073,0,0.258,25.422,0,6/4/2026,
OA197,34.37,0,34.37,0,0,0.215,2.879,0,6/4/2026,
OA214,34.42,0,34.42,1.105,0,0.235,3.13,0,6/4/2026,
OA215,33.82,0,33.82,8.281,0,0.275,40.171,0,6/4/2026,
OA216,34.43,0,34.43,2.144,0,0.224,4.57,0,6/4/2026,
OA217,34.58,0,34.58,0.268,0,0.205,1.292,0,6/4/2026,
OA218,2.95,0,2.95,116.892,0.3,1.573,,0.126,6/4/2026,
OA219,26.16,0,26.16,18.957,0.185,1.005,85.455,0.118,6/4/2026,
OA220,34.3,0,34.3,1.954,0,0.306,3.371,0,6/4/2026,
OA221,34.6,0,34.6,1.583,0.149,0.355,1.617,3.232,6/4/2026,
OA254,35.06,0,35.06,0.3,0,0.276,1.098,0.206,6/4/2026,
OA255,34.53,0,34.53,0.264,0,0.153,5.263,0,6/4/2026,
OA256,34.44,0,34.44,0,0,0.155,0.813,0,6/4/2026,
OA272,34.1,0,34.1,1.488,0,0.191,19.69,0,6/4/2026,
OA311,34.55,0,34.55,0,0,0.112,3.228,0,6/4/2026,
OA348,31.64,0,31.64,145.722,0.136,0.275,32.938,0,6/4/2026,
OA363,23.17,0,23.17,9.673,0.12,1.179,13.248,0,6/4/2026,
OA381,22.69,0,22.69,35.027,0.123,1.178,37.289,0,6/4/2026,
OA384,24.96,0,24.96,25.069,0.088,0.92,16.886,0,6/4/2026,
OA386,34.67,0,34.67,0,0,0.118,1.05,0,6/4/2026,
OA394,32.47,0,32.47,1.563,0,0.136,3.356,0,6/4/2026,
OA403,31.9,0,31.9,4.955,0,0.179,10.546,0,6/4/2026,
OA406,34.63,0,34.63,0,0,0.113,1.098,0,6/4/2026,
OA408,35.03,0,35.03,1.986,0,0.14,4.73,0,6/4/2026,
OA419,26.82,0,26.82,0.224,0,0.233,22.258,0,6/4/2026,
OA420,34.3,0,34.3,1.838,0,0.483,19.004,0.205,6/4/2026,
OA426,20.19,0,20.19,0.2,0,3.922,39.884,0.105,6/4/2026,
OA430,23.22,0,23.22,0,0,0.441,25.009,0,6/4/2026,
OA434,17.93,0,17.93,0,0,1.603,93.696,0,6/4/2026,
OA451,22.33,0,22.33,0.351,0,0.318,30.525,0,6/4/2026,
OA458,4.75,0,4.75,46.108,0.471,1.2,,0.202,6/4/2026,
OA468,34.76,0,34.76,0.201,0,0.169,1.941,0,6/4/2026,
OA495,35.07,0,35.07,0.114,0,0.169,1.412,0,6/4/2026,
OA739,26.66,0,26.66,0.139,0,0.223,7.908,0,6/4/2026,
OA744,22.92,0,22.92,0,0,1.396,39.303,0,6/4/2026,
OA759,28.22,0,28.22,0,0,0.726,31.411,0,6/4/2026,
OA764,34.47,0,34.47,5.524,0,0.149,1.424,0,6/4/2026,
OA768,21.24,0,21.24,0,0,0.193,0.095,0.272,6/4/2026,
OA769,32.64,0,32.64,0.149,0,0.418,20.977,0,6/4/2026,
OA938,31.17,0,31.17,0,0,0.153,4.231,0.105,6/4/2026,
OA939,25.85,0,25.85,0,0,0.108,2.317,0,6/4/2026,
OA940,33.84,0,33.84,0.153,0,0.225,2.836,0,6/4/2026,
OA941,32.21,0,32.21,0,0,0.128,0.938,0,6/4/2026,
OA942,29.79,0,29.79,0,0,0.151,0.936,0,6/4/2026,
OA943,34.26,0,34.26,0,0,0.221,0.989,0,6/4/2026,
OA944,33.64,0,33.64,5.719,0,1.247,9.751,1.241,6/4/2026,
OA945,10.66,0,10.66,102.543,3.732,2.396,,5.817,6/4/2026,
OA946,27.8,0,27.8,10.644,0.213,0.422,19.822,<0.08,6/4/2026,
OA947,26.05,0,26.05,11.706,0.178,0.36,19.337,0.194,6/4/2026,
OA949,27.32,0,27.32,12.734,0.207,0.384,22.765,0.445,6/4/2026,
OA950,32.83,0,32.83,5.283,0,0.332,16.214,0.334,6/4/2026,
OA953,11.41,0,11.41,5.675,0.148,0.867,,9.921,6/4/2026,
OA954,34.49,0,34.49,0.404,0,1.199,4.661,0,6/4/2026,
OA955,23.94,0,23.94,0.673,0,0.39,92.071,0.214,6/4/2026,
OA959,30.4,0,30.4,12.161,0.093,0.189,13.434,0,6/4/2026,
OA960,26.81,0,26.81,12.337,0,0.196,12.284,0,6/4/2026,
OA963,28.96,0,28.96,61.176,0.172,0.209,37.562,0,6/4/2026,
OA964,31.63,0,31.63,8.795,0.189,0.429,21.248,0,6/4/2026,
OA965,7.1,0,7.1,3.73,<0.07,0.558,,0.714,6/4/2026,
OA969,34.11,0,34.11,3.723,0,0.265,6.021,0,6/4/2026,
OA970,29.11,0,29.11,2.334,0,0.416,17.745,5.323,6/4/2026,
OA973,2.46,0,2.46,51.357,0.409,0.895,,10.929,6/4/2026,
OA974,30.47,0,30.47,3.356,0,0.43,7.839,6.332,6/4/2026,
OA975,21.84,0,21.84,0.477,0,0.267,11.209,0,6/4/2026,
OA999,24.54,0,24.54,12.153,0,0.96,8.839,0,6/4/2026,
OA1001,35,0,35,0,0,0.11,0.686,0,6/4/2026,
OA1002,35.07,0,35.07,0,0,0.092,2.503,0,6/4/2026,
OA1003,35.1,0,35.1,0,0,0.109,1.036,0,6/4/2026,
OA1004,35.51,0,35.51,0,0,0.077,1.15,0,6/4/2026,
OA1005,35.33,0,35.33,0,0,0.121,0.483,0.252,6/4/2026,
OA1006,35.46,0,35.46,0,0,0,1.996,0,6/4/2026,
