objectid,uid,x,y,island,longitude,latitude
267,-159.32037_22.07372,-159.32037212,22.0737231,Kauai,-159.32035778036442,22.07371971090888
268,-159.32021_22.08645,-159.32021654,22.08645984,Kauai,-159.32020220392903,22.086456449781572
269,-159.32028_22.08603,-159.32028854,22.086039959999997,Kauai,-159.32027420728159,22.086036572790118
270,-159.32403_22.08845,-159.32403207000002,22.08845467,Kauai,-159.32401773867574,22.088451280128037
271,-159.36064_22.09479,-159.36064612,22.094793369999998,Kauai,-159.36063178734926,22.0947899782512
272,-159.33077_22.09798,-159.33077536000002,22.097982599999998,Kauai,-159.33076102756476,22.097979212291932
273,-159.33934_22.09951,-159.33934680000002,22.099512649999998,Kauai,-159.33933246473893,22.099509264176007
274,-159.32996_22.09665,-159.32996314000002,22.096653319999998,Kauai,-159.32994881028904,22.09664993406488
275,-159.32820_22.09546,-159.32820251,22.09546046,Kauai,-159.32818817528417,22.095457075552403
276,-159.33044_22.09558,-159.33044908,22.095585550000003,Kauai,-159.33043474852292,22.095582161446117
277,-159.31760_22.08845,-159.31760543,22.08845641,Kauai,-159.31759109339166,22.088453017027952
278,-159.31499_22.08728,-159.31499921,22.087281479999998,Kauai,-159.31498487914493,22.08727809053733
279,-159.31550_22.09116,-159.31550438,22.09116347,Kauai,-159.31549004891562,22.09116007812097
280,-159.31540_22.08846,-159.31540245000002,22.08846165,Kauai,-159.31538811315428,22.088458262809773
281,-159.31931_22.08548,-159.31931709,22.08548447,Kauai,-159.31930275128448,22.085481084601405
282,-159.31787_22.08639,-159.31787758000002,22.086395980000002,Kauai,-159.31786324168672,22.086392592815898
283,-159.32072_22.08944,-159.32072395999998,22.0894479,Kauai,-159.32070962347055,22.08944451315004
