cluster_label,island,log_cesspool_density,log_dist_cesspool,log_dist_stream_mouth,log_discharge_cfs,pct_impervious,pct_agriculture,mean_slope_deg,log_ksat,log_dist_outfall,mean_gwetroot,log_cattle_km2
Freshwater plume,Moloka'i,0.1812566227680557,5.603593747400769,1.9790010135558767,3.9041794215662247,0.031140528619289398,0.0025018122978508472,18.4531307220459,2.302585092994046,4.700183536188193,0.38315789473684214,4.0447999596148
Nearshore enriched,Moloka'i,0.1812566227680557,6.074656137994746,2.526349032296553,3.9041794215662247,0.031140528619289398,0.0025018122978508472,18.4531307220459,2.302585092994046,6.2387643732449956,0.38315789473684214,4.0447999596148
Nearshore enriched,Moloka'i,0.1812566227680557,6.074656137994746,2.526349032296553,3.9041794215662247,0.031140528619289398,0.0025018122978508472,18.4531307220459,2.302585092994046,6.2387643732449956,0.38315789473684214,4.0447999596148
Marine background,Moloka'i,0.1812566227680557,7.081960655173834,6.850769314187764,3.9041794215662247,0.031140528619289398,0.0025018122978508472,18.4531307220459,2.302585092994046,6.938891298031193,0.38315789473684214,4.0447999596148
Storm runoff,Moloka'i,0.2925708755816126,5.738827816399001,5.868180153638838,0.7368450358256646,0.007024289574474096,1.2745548701786902e-5,8.778851509094238,3.0058476072852525,6.507615777543129,0.38315789473684214,4.0447999596148
Storm runoff,O'ahu,0.8821144289475148,5.556441886757492,5.801559395409669,5.979138897417345,0.0172471571713686,0.08102012698282124,11.557167053222656,2.9826470339852036,5.4655507385355415,0.7223684210526315,4.0812304333291785
Nearshore enriched,O'ahu,2.477196669159271,7.404339980457785,7.945598044568382,4.565691375014304,0.28910722583532333,4.1361484909430146e-4,7.829522967338562,2.0573237349027753,6.514591088762367,0.7223684210526315,4.0812304333291785
Nearshore enriched,O'ahu,1.8602971571668712,6.668101175540937,7.684018180771654,2.958566222330021,0.3248221278190613,9.451926598558202e-5,13.575106620788574,1.7245507194283571,3.6213327470433683,0.7223684210526315,4.0812304333291785
Nearshore enriched,O'ahu,1.8602971571668712,2.1972245773362196,8.37384408243551,4.892270637718425,0.3248221278190613,9.451926598558202e-5,13.575106620788574,1.7245507194283571,3.6064817050242293,0.7223684210526315,4.0812304333291785
Nearshore enriched,Maui,0.10829243445747551,7.000607895996754,7.880299450993169,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,5.235253986077811,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.9270580918013038,7.133455559078037,6.6431187696912275,2.5792388344043484,0.056509919464588165,0.678783655166626,3.7008700370788574,2.0498410698570333,4.136354146096879,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,3.410046227465237,3.349904087274605,4.961232928366228,3.5520985479029457,0.6135108470916748,0,2.629654884338379,2.302585092994046,5.90616059072738,0.7621052631578947,4.0447999596148
Nearshore enriched,O'ahu,2.477196669159271,7.757051142032013,8.028254384471,4.565691375014304,0.28910722583532333,4.1361484909430146e-4,7.829522967338562,2.0573237349027753,6.179478788112092,0.7223684210526315,4.0812304333291785
Nearshore enriched,Maui,1.6511871814897232,6.821979501960733,5.5490039029557705,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,4.917516696527918,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.9270580918013038,5.652138241503862,5.462780452851409,2.5792388344043484,0.056509919464588165,0.678783655166626,3.7008700370788574,2.0498410698570333,6.8674995438530715,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,5.27658287440203,7.251344478557398,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,5.843237674948986,0.7621052631578947,4.0447999596148
Marine background,Maui,0.10829243445747551,7.068086817884477,7.884398759401459,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,5.6690102685502985,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.5231184827379162,6.842256296749442,6.37783994924431,3.5520985479029457,0.16329514980316162,0.0015597434248775244,17.596988677978516,1.9563318444615498,5.839290020636874,0.7621052631578947,4.0447999596148
Freshwater plume,Moloka'i,1.7771644182829298,4.648229675448539,5.678088213479558,1.1801191254465355,0.021619925275444984,0.0010288801277056336,19.439220428466797,2.1430030203728814,9.404061955654768,0.38315789473684214,4.0447999596148
Freshwater plume,O'ahu,3.332225940913216,6.846624278977906,7.170732249027806,2.6248789487182944,0.16553421318531036,0.014914245344698429,14.519304275512695,2.613739519884309,5.899412674115204,0.7223684210526315,4.0812304333291785
Storm runoff,Moloka'i,0.834802638737546,4.448516375942715,5.475975177465644,4.221000897210178,0.00878598727285862,0,10.608473777770996,3.0058476072852525,8.091893642934807,0.38315789473684214,4.0447999596148
Nearshore enriched,Moloka'i,1.5044513758941063,6.1070228877422545,5.70075534832531,4.221000897210178,0.008899277076125145,1.2733216863125563e-4,14.259186744689941,0.19885085776803976,6.8313830059191325,0.38315789473684214,4.0447999596148
Freshwater plume,Moloka'i,0.1186095122962532,6.649890874939539,5.356677377042382,4.221000897210178,0.004878492560237646,0,19.58201026916504,0.19885085776803976,8.658794420544584,0.38315789473684214,4.0447999596148
Freshwater plume,Moloka'i,1.5044513758941063,3.5467396869528134,5.368369134643153,4.221000897210178,0.008899277076125145,1.2733216863125563e-4,14.259186744689941,0.19885085776803976,7.650237711539138,0.38315789473684214,4.0447999596148
Nearshore enriched,O'ahu,3.332225940913216,7.306061489891822,7.389040359024362,5.363556073532758,0.16553421318531036,0.014914245344698429,14.519304275512695,2.613739519884309,7.049174662836424,0.7223684210526315,4.0812304333291785
Nearshore enriched,Moloka'i,0.31747635850124695,5.6777806721172,6.579139367296802,1.1801191254465355,0.0064003500156104565,0.012069173040799797,21.67867660522461,0.19885085776803976,8.973102605845664,0.38315789473684214,4.0447999596148
